[2021-07-10T12:19:57.233613Z | BEAST_Thread |     INFO] Logger Initialized
[2021-07-10T12:19:57.484044Z | BEAST_Thread |     INFO] 1a310003274632fd000010
[2021-07-10T12:19:57.704551Z | BEAST_Thread |     INFO] 1a320003277389623002e195b8f55967
[2021-07-10T12:19:57.705099Z | BEAST_Thread |     INFO] 1a310003277a7cce000000
[2021-07-10T12:19:57.705399Z | BEAST_Thread |     INFO] 1a310003277f7350000000
[2021-07-10T12:19:57.922642Z | BEAST_Thread |     INFO] 1a31000327a47683000010
[2021-07-10T12:19:57.923234Z | BEAST_Thread |     INFO] 1a31000327a78692000021
[2021-07-10T12:19:57.923738Z | BEAST_Thread |     INFO] 1a31000327b5e20f000000
[2021-07-10T12:19:58.141160Z | BEAST_Thread |     INFO] 1a32000327d7b4ef3202e615b82d6484
[2021-07-10T12:19:58.141729Z | BEAST_Thread |     INFO] 1a33000327d92c52308da3533658af90d3ceee36a37d7a
[2021-07-10T12:19:58.142213Z | BEAST_Thread |     INFO] 1a31000327d26bb7001044
[2021-07-10T12:19:58.142644Z | BEAST_Thread |     INFO] 1a33000327da16c72f8da35336990c38ba380848cb122c
[2021-07-10T12:19:58.520449Z | BEAST_Thread |     INFO] 1a3200032823976a245dab674b27b6d8
[2021-07-10T12:19:58.739205Z | BEAST_Thread |     INFO] 1a32000328310e2e3102e195b90aad6e
[2021-07-10T12:19:58.739887Z | BEAST_Thread |     INFO] 1a3100032832a0b5005004
[2021-07-10T12:19:58.740242Z | BEAST_Thread |     INFO] 1a3100032838d29e000403
[2021-07-10T12:19:58.740536Z | BEAST_Thread |     INFO] 1a3300032842a038238dab674b990d7394b06441cd5820
[2021-07-10T12:19:58.957198Z | BEAST_Thread |     INFO] 1a320003285fdc68335da3533652a082
[2021-07-10T12:19:58.957687Z | BEAST_Thread |     INFO] 1a330003286ac1d8348da35336ea428858013c083b01b4
[2021-07-10T12:19:58.957988Z | BEAST_Thread |     INFO] 1a310003286aab21001524
[2021-07-10T12:19:59.178647Z | BEAST_Thread |     INFO] 1a310003287b9914001010
[2021-07-10T12:19:59.179029Z | BEAST_Thread |     INFO] 1a330003288d8771348da3533658af80d370ee30a392ad
[2021-07-10T12:19:59.179730Z | BEAST_Thread |     INFO] 1a330003288e77da338da35336990c38ba300448edea24
[2021-07-10T12:19:59.180414Z | BEAST_Thread |     INFO] 1a320003288eed613402e195b8f55967
[2021-07-10T12:19:59.181212Z | BEAST_Thread |     INFO] 1a320003288f25623302e195b8f55967
[2021-07-10T12:19:59.181638Z | BEAST_Thread |     INFO] 1a3200032890498c3402e195b8f55967
[2021-07-10T12:19:59.397438Z | BEAST_Thread |     INFO] 1a32000328a2a717325da3533652a080
[2021-07-10T12:19:59.398139Z | BEAST_Thread |     INFO] 1a32000328a496e3315da3533652a080
[2021-07-10T12:19:59.398794Z | BEAST_Thread |     INFO] 1a32000328a81927315da3533652a080
[2021-07-10T12:19:59.399448Z | BEAST_Thread |     INFO] 1a32000328aab8d3315da3533652a080
[2021-07-10T12:19:59.399854Z | BEAST_Thread |     INFO] 1a31000328a8f80e004106
[2021-07-10T12:19:59.400196Z | BEAST_Thread |     INFO] 1a32000328b4b79a215dab674b27b6da
[2021-07-10T12:19:59.400534Z | BEAST_Thread |     INFO] 1a32000328bd0b3e31200015b8f3812d
[2021-07-10T12:19:59.615283Z | BEAST_Thread |     INFO] 1a33000328d5f6082f8da3533623041677c30ca05adaa5
[2021-07-10T12:19:59.615659Z | BEAST_Thread |     INFO] 1a32000328e4e4da2c02e195b90aad6e
[2021-07-10T12:19:59.616104Z | BEAST_Thread |     INFO] 1a31000328e48a0c004136
[2021-07-10T12:19:59.616467Z | BEAST_Thread |     INFO] 1a31000328eef7b7000000
[2021-07-10T12:19:59.833087Z | BEAST_Thread |     INFO] 1a3200032902f5f12e02e195b8f55967
[2021-07-10T12:19:59.833478Z | BEAST_Thread |     INFO] 1a31000328ffc6bc004106
[2021-07-10T12:19:59.833833Z | BEAST_Thread |     INFO] 1a31000329001446003001
[2021-07-10T12:19:59.834167Z | BEAST_Thread |     INFO] 1a31000329017902004106
[2021-07-10T12:19:59.834583Z | BEAST_Thread |     INFO] 1a310003291826a6001724
[2021-07-10T12:20:00.051356Z | BEAST_Thread |     INFO] 1a320003292a382b215dab674b27b6da
[2021-07-10T12:20:00.052109Z | BEAST_Thread |     INFO] 1a3100032930d357000020
[2021-07-10T12:20:00.052830Z | BEAST_Thread |     INFO] 1a3300032939a7622c8da35336990c38ba3008495a442d
[2021-07-10T12:20:00.053258Z | BEAST_Thread |     INFO] 1a320003293df6972d5da3533652a080
[2021-07-10T12:20:00.053607Z | BEAST_Thread |     INFO] 1a32000329409bef2f5da3533652a080
[2021-07-10T12:20:00.053940Z | BEAST_Thread |     INFO] 1a310003293fe06b004106
[2021-07-10T12:20:00.054290Z | BEAST_Thread |     INFO] 1a3100032941fabd001002
[2021-07-10T12:20:00.270304Z | BEAST_Thread |     INFO] 1a32000329428dfc2b5da3533652a080
[2021-07-10T12:20:00.271133Z | BEAST_Thread |     INFO] 1a32000329451f602c02e195b8f55967
[2021-07-10T12:20:00.271971Z | BEAST_Thread |     INFO] 1a32000329508d272a02e195b90aad6e
[2021-07-10T12:20:00.272370Z | BEAST_Thread |     INFO] 1a3200032951afc42a02e195b90aad6e
[2021-07-10T12:20:00.487541Z | BEAST_Thread |     INFO] 1a31000329770903001024
[2021-07-10T12:20:00.705068Z | BEAST_Thread |     INFO] 1a32000329948b31205dab674b27b6d8
[2021-07-10T12:20:00.705698Z | BEAST_Thread |     INFO] 1a32000329a1a5b62a5da3533652a080
[2021-07-10T12:20:00.706118Z | BEAST_Thread |     INFO] 1a32000329a559ca2b02e195b90aad6e
[2021-07-10T12:20:00.706468Z | BEAST_Thread |     INFO] 1a33000329a5f00f218dab674bf82300020049b86d03e3
[2021-07-10T12:20:00.706801Z | BEAST_Thread |     INFO] 1a32000329a73ead2c5da3533652a088
[2021-07-10T12:20:00.707132Z | BEAST_Thread |     INFO] 1a32000329a905812b5da3533652a080
[2021-07-10T12:20:00.707508Z | BEAST_Thread |     INFO] 1a31000329aad62e0010e4
[2021-07-10T12:20:00.923897Z | BEAST_Thread |     INFO] 1a33000329bbcf77228dab674b990d7394b05c4163a829
[2021-07-10T12:20:00.924463Z | BEAST_Thread |     INFO] 1a31000329bb0cec000004
[2021-07-10T12:20:00.924833Z | BEAST_Thread |     INFO] 1a32000329d171c4215dab674b27b6dc
[2021-07-10T12:20:01.142287Z | BEAST_Thread |     INFO] 1a32000329e322b0265da3533652a082
[2021-07-10T12:20:01.142942Z | BEAST_Thread |     INFO] 1a32000329e5b4f1275da3533652a086
[2021-07-10T12:20:01.143365Z | BEAST_Thread |     INFO] 1a31000329ee6f5f001014
[2021-07-10T12:20:01.143717Z | BEAST_Thread |     INFO] 1a33000329f816b9288da3533658af8468d560e98ec71a
[2021-07-10T12:20:01.144063Z | BEAST_Thread |     INFO] 1a33000329f90434278da35336990c38ba300c4962722d
[2021-07-10T12:20:01.144449Z | BEAST_Thread |     INFO] 1a32000329fde9f82902e195b8f55967
[2021-07-10T12:20:01.381280Z | BEAST_Thread |     INFO] 1a3100032a14e928005450
[2021-07-10T12:20:01.382150Z | BEAST_Thread |     INFO] 1a3300032a26c7d52a8da35336ea428858013c083b01b4
[2021-07-10T12:20:01.382863Z | BEAST_Thread |     INFO] 1a3100032a21691b001030
[2021-07-10T12:20:01.383722Z | BEAST_Thread |     INFO] 1a3200032a2f90452802e195b8f55967
[2021-07-10T12:20:01.631325Z | BEAST_Thread |     INFO] 1a3100032a371966004106
[2021-07-10T12:20:01.632125Z | BEAST_Thread |     INFO] 1a3200032a55ddda2e02e195b90aad6e
[2021-07-10T12:20:01.632440Z | BEAST_Thread |     INFO] 1a3200032a603425225dab674b27b6db
[2021-07-10T12:20:01.850156Z | BEAST_Thread |     INFO] 1a3200032a6f10732c02e195b8f55967
[2021-07-10T12:20:01.850763Z | BEAST_Thread |     INFO] 1a3200032a78b1412f5da3533652a081
[2021-07-10T12:20:01.851326Z | BEAST_Thread |     INFO] 1a3200032a7b5c092f5da3533652a081
[2021-07-10T12:20:01.851704Z | BEAST_Thread |     INFO] 1a3200032a7d51fa2f5da3533652a081
[2021-07-10T12:20:01.852049Z | BEAST_Thread |     INFO] 1a3100032a827ca3000000
[2021-07-10T12:20:01.852354Z | BEAST_Thread |     INFO] 1a3100032a88d90c000010
[2021-07-10T12:20:02.066992Z | BEAST_Thread |     INFO] 1a3100032a95d5d5001094
[2021-07-10T12:20:02.068125Z | BEAST_Thread |     INFO] 1a3100032a9a77f6002010
[2021-07-10T12:20:02.068513Z | BEAST_Thread |     INFO] 1a3100032a9c0808000030
[2021-07-10T12:20:02.068825Z | BEAST_Thread |     INFO] 1a3100032a9ecc0a004106
[2021-07-10T12:20:02.069097Z | BEAST_Thread |     INFO] 1a3100032aa0ba3e001526
[2021-07-10T12:20:02.069374Z | BEAST_Thread |     INFO] 1a3100032aa1f49a001524
[2021-07-10T12:20:02.069648Z | BEAST_Thread |     INFO] 1a3100032aa2332b000031
[2021-07-10T12:20:02.069923Z | BEAST_Thread |     INFO] 1a3100032aa2f786000011
[2021-07-10T12:20:02.070196Z | BEAST_Thread |     INFO] 1a3200032aad3a122002e193bd268c25
[2021-07-10T12:20:02.070478Z | BEAST_Thread |     INFO] 1a3300032aae4ae3318da3533658af94686f60e3b93193
[2021-07-10T12:20:02.070755Z | BEAST_Thread |     INFO] 1a3300032aaf363e318da35336990c38ba380848cb122c
[2021-07-10T12:20:02.071031Z | BEAST_Thread |     INFO] 1a3200032ab2e6f23002e195b8f55967
[2021-07-10T12:20:02.286864Z | BEAST_Thread |     INFO] 1a3200032ab4de1e3202e195b8f55967
[2021-07-10T12:20:02.287572Z | BEAST_Thread |     INFO] 1a3100032abb7992002000
[2021-07-10T12:20:02.287959Z | BEAST_Thread |     INFO] 1a3200032ac830722f200015b8f3812d
[2021-07-10T12:20:02.288245Z | BEAST_Thread |     INFO] 1a3100032ada8fd8002774
[2021-07-10T12:20:02.503681Z | BEAST_Thread |     INFO] 1a3200032ae42cfa2f02e195b8f55967
[2021-07-10T12:20:02.504033Z | BEAST_Thread |     INFO] 1a3100032b018e98001524
[2021-07-10T12:20:02.722692Z | BEAST_Thread |     INFO] 1a3200032b0ddde92f02e195b8f55967
[2021-07-10T12:20:02.723086Z | BEAST_Thread |     INFO] 1a3100032b21941b002607
[2021-07-10T12:20:02.723392Z | BEAST_Thread |     INFO] 1a3200032b2463093402e195b8f55967
[2021-07-10T12:20:02.946198Z | BEAST_Thread |     INFO] 1a3200032b2e19611e5dab674b27b698
[2021-07-10T12:20:03.159191Z | BEAST_Thread |     INFO] 1a3200032b62bde6365da3533652a082
